player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Aaron Wan-Bissaka,West Ham United,D,16,41.02564103,155,23,33.82352941,309,207,516,75.99410898,20,47.61904762,22,22,2,66,1,0,0,3,90,13,7,76,0,3,0.92856181,,21,0,0.0,0,2,39,36,3,0,0,,55,50.4587156,0,0,0,163,38,17,0,21,1906,1,0,0,0,0,0.0,0,0,0,0,291,3,0,6.590909091,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,14,46.66666667,29,19,65.51724138,17,30,39,75,49.66887417,68,427,252,679,0,1,1241,12,4
Jean-Clair Todibo,West Ham United,D,0,0.0,58,24,39.3442623,198,458,656,87.81793842,24,50.0,24,20,1,86,0,1,1,1,93,1,6,42,0,2,0.32636473,0.2442,7,0,0.0,0,1,34,32,2,0,0,,43,70.49180328,0,0,1,91,16,5,0,20,1700,1,0,0,0,0,0.0,0,0,0,0,111,1,0,6.59,1,0,0,0,0,0,0,0.0,0.0,0,2,0,1,0,3,42.85714286,38,24,63.15789474,5,7,2,67,61.46788991,61,255,492,747,2,0,983,3,4
Ezra Mayers,West Ham United,D,2,66.66666667,24,4,40.0,44,24,68,83.95061728,3,75.0,1,6,0,6,0,0,1,0,4,1,0,2,0,0,0.49082712,0.1188,0,0,0.0,0,0,3,3,0,0,0,,1,50.0,0,0,0,13,1,2,0,0,134,0,0,0,0,0,0.0,0,0,0,0,17,0,0,6.583333333,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,100.0,0,0,0.0,2,1,3,4,66.66666667,10,53,28,81,1,0,101,0,0
Max Kilman,West Ham United,D,1,33.33333333,43,27,35.52631579,186,418,604,87.91848617,47,57.31707317,35,21,0,43,0,2,2,1,111,5,7,63,0,0,0.30917744,0.5682,16,0,0.0,0,0,37,35,2,0,0,,22,44.0,0,0,0,83,9,4,0,17,1565,0,0,0,0,2,0.0,0,0,0,0,98,0,0,6.557894737,0,0,0,0,0,0,0,0.0,0.0,0,6,1,4,1,4,80.0,16,8,50.0,4,5,3,69,52.27272727,76,249,438,687,7,0,916,2,4
Nayef Aguerd,West Ham United,D,0,0.0,17,6,46.15384615,42,62,104,90.43478261,4,57.14285714,3,2,0,8,0,0,0,0,11,0,0,3,0,0,0.02594453,0.1014,0,0,0.0,0,0,8,8,0,0,0,,3,100.0,0,0,0,11,1,0,0,2,180,0,0,0,0,0,0.0,0,0,0,0,14,0,0,6.2,0,0,0,0,0,0,0,0.0,0.0,0,2,0,2,0,1,100.0,1,0,0.0,0,1,2,7,70.0,13,52,63,115,2,0,145,1,0
Bashir Humphreys,Burnley,D,3,18.75,93,38,38.0,213,301,514,80.56426332,19,45.23809524,23,15,0,52,1,1,4,2,68,5,12,58,0,1,0.62080105,0.3186,13,0,0.0,0,0,27,25,2,0,0,,35,50.0,0,0,0,124,7,6,0,13,1240,0,0,0,0,0,0.0,0,0,0,0,168,1,0,6.928571429,0,0,0,0,0,0,0,0.0,0.0,0,4,3,2,1,5,50.0,24,16,66.66666667,6,10,16,54,48.21428571,100,289,349,638,7,1,876,6,5
Oliver Sonne,Burnley,D,1,20.0,15,3,42.85714286,23,16,39,66.10169492,5,71.42857143,2,7,0,4,0,0,0,0,4,1,1,10,0,0,0.08502003,0.5505,4,0,33.33333333,1,1,4,4,0,1,0,,3,27.27272727,0,0,0,20,1,1,1,1,165,0,0,0,0,0,0.0,0,0,0,0,31,0,0,6.683333333,0,0,0,0,0,0,0,165.0,0.0,0,3,0,2,1,1,33.33333333,2,1,50.0,1,3,5,8,44.44444444,7,38,21,59,3,0,98,0,0
Maxime Estève,Burnley,D,2,40.0,83,40,35.71428571,283,672,955,86.81818182,71,68.26923077,33,28,0,91,1,0,0,1,177,3,13,60,2,1,0.64193599,0.6657,10,0,0.0,0,0,57,55,2,0,0,,46,63.01369863,0,0,0,145,32,7,0,28,2405,0,2,0,0,0,0.0,0,0,0,0,162,2,0,6.628571429,0,0,0,0,0,0,0,0.0,0.0,0,8,1,8,1,2,66.66666667,32,22,68.75,7,3,5,117,66.10169492,112,382,718,1100,9,1,1450,12,0
Hjalmar Ekdal,Burnley,D,0,0.0,28,22,40.74074074,117,286,403,84.48637317,40,61.53846154,25,15,0,31,0,1,1,2,96,2,3,35,1,1,0.25656847,0.211,5,0,0.0,0,0,24,21,3,0,0,,23,69.6969697,0,0,0,74,9,3,0,13,1179,2,0,0,0,0,0.0,0,0,0,0,82,0,0,6.628571429,0,0,0,0,0,0,0,0.0,0.0,0,5,0,3,1,2,100.0,19,13,68.42105263,3,2,1,63,64.28571429,54,165,312,477,5,0,653,3,0
Kyle Walker,Burnley,D,6,20.68965517,195,75,37.87878788,434,429,863,75.56917688,39,50.0,39,29,2,128,3,0,2,4,89,13,17,107,0,2,1.05469485,0.127,27,0,0.0,0,2,53,49,4,0,0,,74,52.11267606,0,0,0,279,38,10,0,29,2549,1,0,0,0,0,0.0,0,0,0,0,487,4,0,6.596551724,0,0,0,0,0,0,0,0.0,0.0,0,1,2,1,0,11,47.82608696,43,24,55.81395349,10,23,29,113,51.36363636,198,635,507,1142,3,0,1828,20,8
